2452127.48372 16.8540  0.0168 6.48 1036.0  504.15  358.24
2452130.51658 16.8181  0.0109 4.18  741.0  504.15  358.24
2452133.53070 16.8299  0.0112 4.21  753.0  504.15  358.24
2452136.65193 16.8340  0.0130 5.42  714.0  504.15  358.24
2452141.64265 16.8194  0.0139 5.42  956.0  504.15  358.24
2452165.56515 16.8394  0.0129 5.63  780.0  504.15  358.24
2452171.63213 16.8284  0.0134 6.12  831.0  504.15  358.24
2452179.52248 16.8005  0.0139 5.42 1058.0  504.15  358.24
2452189.51751 16.8206  0.0151 6.01 1019.0  504.15  358.24
2452212.54338 16.8175  0.0175 5.88 1491.0  504.15  358.24
2452214.50068 16.8356  0.0190 5.60 1868.0  504.15  358.24
2452337.82997 16.8280  0.0125 3.82 1245.0  504.15  358.24
2452352.84748 16.8245  0.0122 4.22  886.0  504.15  358.24
2452361.84191 16.8272  0.0132 4.49 1026.0  504.15  358.24
2452373.79666 16.8382  0.0147 5.91  817.0  504.15  358.24
2452464.77885 16.8504  0.0115 4.01  779.0  504.15  358.24
2452708.91043 16.8370  0.0148 4.97 1249.0  504.15  358.24
2452850.64252 16.8283  0.0118 3.84  888.0  504.15  358.24
2452858.76983 16.8361  0.0162 4.76 1637.0  504.15  358.24
2453059.85868 16.8343  0.0125 5.01  809.0  504.15  358.24
2453064.87381 16.8351  0.0117 4.14  913.0  504.15  358.24
2453068.82717 16.8397  0.0123 4.30  953.0  504.15  358.24
2453071.87963 16.7966  0.0117 3.90  951.0  504.15  358.24
2453073.89077 16.8155  0.0112 3.77  954.0  504.15  358.24
2453075.90096 16.8467  0.0122 4.10  972.0  504.15  358.24
2453080.81417 16.8291  0.0118 4.11  943.0  504.15  358.24
2453083.76629 16.8320  0.0107 3.74  714.0  504.15  358.24
2453085.88864 16.8295  0.0104 3.91  658.0  504.15  358.24
2453087.79057 16.8355  0.0124 5.23  703.0  504.15  358.24
2453089.83997 16.8429  0.0103 4.17  692.0  504.15  358.24
2453091.89219 16.8253  0.0114 4.51  732.0  504.15  358.24
2453097.82050 16.8296  0.0112 4.35  772.0  504.15  358.24
2453099.90328 16.8278  0.0121 4.82  780.0  504.15  358.24
2453101.80843 16.8147  0.0126 4.54  960.0  504.15  358.24
2453102.90314 16.8575  0.0130 4.55  905.0  504.15  358.24
2453104.75879 16.8632  0.0327 4.67 8608.0  504.15  358.24
2453106.90098 16.8214  0.0147 4.02 1726.0  504.15  358.24
2453107.89148 16.8289  0.0111 3.93  734.0  504.15  358.24
2453109.82913 16.8236  0.0109 3.95  726.0  504.15  358.24
2453110.92206 16.8216  0.0130 4.98  896.0  504.15  358.24
2453112.89742 16.8335  0.0109 4.64  639.0  504.15  358.24
2453113.90515 16.8279  0.0105 4.43  668.0  504.15  358.24
2453114.83550 16.8499  0.0111 4.38  736.0  504.15  358.24
2453115.89594 16.8255  0.0110 4.09  750.0  504.15  358.24
2453116.87718 16.8240  0.0119 4.52  773.0  504.15  358.24
2453124.77293 16.8377  0.0156 6.62  842.0  504.15  358.24
2453126.70756 16.8325  0.0106 3.96  737.0  504.15  358.24
2453127.88606 16.8307  0.0120 4.44  808.0  504.15  358.24
2453128.87379 16.8399  0.0141 4.68 1100.0  504.15  358.24
2453130.75282 16.8287  0.0137 4.29 1284.0  504.15  358.24
2453131.71918 16.8473  0.0144 4.38 1287.0  504.15  358.24
2453134.88818 16.8151  0.0174 5.23 1822.0  504.15  358.24
2453137.77334 16.7828  0.0114 5.14  838.0  504.15  358.24
2453138.65892 16.8512  0.0125 4.67  815.0  504.15  358.24
2453138.76523 16.8283  0.0114 4.73  702.0  504.15  358.24
2453138.86083 16.8371  0.0117 4.50  759.0  504.15  358.24
2453138.92212 16.8360  0.0122 4.49  829.0  504.15  358.24
2453139.65081 16.8541  0.0115 5.37  649.0  504.15  358.24
2453139.72308 16.8253  0.0100 3.97  590.0  504.15  358.24
2453139.82511 16.8268  0.0105 3.92  651.0  504.15  358.24
2453139.85380 16.8318  0.0106 3.97  678.0  504.15  358.24
2453139.87181 16.8121  0.0103 3.84  710.0  504.15  358.24
2453139.91800 16.8357  0.0113 3.81  868.0  504.15  358.24
2453140.61465 16.8501  0.0139 5.21  952.0  504.15  358.24
2453140.71114 16.8416  0.0115 4.45  716.0  504.15  358.24
2453140.81002 16.8414  0.0114 4.26  697.0  504.15  358.24
2453140.86299 16.8272  0.0123 4.90  715.0  504.15  358.24
2453140.92093 16.8241  0.0123 4.83  746.0  504.15  358.24
2453141.65440 16.8443  0.0137 5.49  841.0  504.15  358.24
2453141.74555 16.8261  0.0113 5.03  620.0  504.15  358.24
2453141.82184 16.8213  0.0108 4.44  606.0  504.15  358.24
2453142.61402 16.8330  0.0120 5.17  724.0  504.15  358.24
2453142.80312 16.8143  0.0109 4.09  799.0  504.15  358.24
2453142.89391 16.8290  0.0117 4.26  930.0  504.15  358.24
2453144.64980 16.8144  0.0124 5.79  652.0  504.15  358.24
2453144.89242 16.8450  0.0120 4.44  860.0  504.15  358.24
2453145.67064 16.8227  0.0122 5.74  630.0  504.15  358.24
2453146.63625 16.8098  0.0136 6.18  735.0  504.15  358.24
2453146.90256 16.8306  0.0109 4.38  679.0  504.15  358.24
2453147.68884 16.8365  0.0114 4.73  644.0  504.15  358.24
2453149.83300 16.8124  0.0110 4.30  857.0  504.15  358.24
2453149.91325 16.8054  0.0139 5.83  934.0  504.15  358.24
2453150.72114 16.8376  0.0118 5.19  697.0  504.15  358.24
2453151.81188 16.8253  0.0134 6.14  676.0  504.15  358.24
2453151.88768 16.8291  0.0130 5.06  781.0  504.15  358.24
2453152.81286 16.8270  0.0119 4.37  785.0  504.15  358.24
2453153.81151 16.8050  0.0126 5.09  829.0  504.15  358.24
2453154.89910 16.8440  0.0152 5.84  995.0  504.15  358.24
2453156.86776 16.8320  0.0126 4.61  901.0  504.15  358.24
2453157.90984 16.8251  0.0139 5.20 1014.0  504.15  358.24
2453158.89055 16.8162  0.0154 5.12 1295.0  504.15  358.24
2453162.84920 16.8086  0.0120 3.96 1125.0  504.15  358.24
2453163.80829 16.8094  0.0109 3.62  902.0  504.15  358.24
2453164.79704 16.7938  0.0106 4.05  752.0  504.15  358.24
2453165.71404 16.8278  0.0096 3.70  647.0  504.15  358.24
