2117.78907 19.8610 0.1738
2125.48552 19.6408 0.2133
2129.57477 19.5868 0.1201
2132.51950 19.3625 0.0949
2135.64564 19.6836 0.1024
2140.61496 19.5981 0.1109
2143.72083 19.6894 0.1253
2158.54682 19.6824 0.1228
2167.50226 19.4421 0.1003
2172.51787 19.7077 0.1617
2175.52975 19.5265 0.1928
2185.54616 19.5211 0.1326
2205.52709 19.7738 0.3322
2329.87990 19.6008 0.0975
2346.87237 19.7235 0.1029
2352.82670 19.4730 0.1404
2361.82103 19.5495 0.1297
2371.88174 19.5400 0.1003
2381.90029 19.5676 0.0906
2385.91010 19.5657 0.0985
2389.92103 19.6827 0.1158
2397.86720 19.4598 0.0949
2401.72721 19.5639 0.0904
2403.78595 19.5776 0.0797
2405.74768 19.6007 0.1026
2415.82090 19.7366 0.1428
2424.69961 19.4580 0.0845
2428.66314 19.3526 0.1076
2432.72123 19.4738 0.1387
2433.91718 19.5837 0.1860
2434.59092 19.3860 0.1079
2436.64418 19.5065 0.0961
2438.65982 19.4886 0.1043
2440.65251 19.5254 0.1117
2444.77429 19.8257 0.1447
2446.78589 19.5617 0.1176
2453.75904 19.7013 0.1206
2456.52025 19.8294 0.1719
2458.63487 19.5643 0.0921
2462.58902 19.5558 0.0770
2464.65811 19.6846 0.0924
2467.56470 19.6286 0.1007
2469.55195 19.5538 0.0810
2471.68694 19.9207 0.1036
2473.53998 19.7228 0.1376
2483.62059 19.6289 0.1083
2486.60369 19.4649 0.1058
2490.57068 19.7200 0.1263
2493.52889 19.5069 0.1046
2495.60504 19.4948 0.0918
2497.65940 19.6230 0.1062
2499.70734 19.5285 0.0795
2501.72520 19.4713 0.0874
2508.54206 19.7596 0.1468
2511.72306 19.3883 0.1766
2518.64000 19.5830 0.1076
2521.65476 19.4784 0.1075
2524.49376 19.5285 0.1022
2529.61794 19.5659 0.1202
2537.56201 19.7335 0.1790
2541.53025 19.4019 0.0981
2546.59607 19.6352 0.1445
2551.50765 19.6288 0.1446
2555.60408 19.9465 0.2345
2562.55779 19.3990 0.1395
2704.89859 19.8535 0.0996
2713.88050 19.4870 0.0869
2728.82231 19.2884 0.0883
2733.79510 19.5226 0.1165
2744.77863 19.3873 0.0780
2752.84227 19.5781 0.1423
2756.82166 19.4609 0.0988
2760.78685 19.7367 0.1544
2766.81460 19.3902 0.0779
2770.70091 19.5997 0.1190
2782.93902 19.8298 0.2402
2784.91748 19.4445 0.0958
2785.89575 19.0438 0.0902
2786.78185 19.2468 0.0908
2787.59522 19.7894 0.1880
2787.63160 19.4788 0.0940
2787.74230 19.2330 0.0799
2787.83141 19.7187 0.1481
2788.60458 19.5186 0.1143
2788.76025 19.5498 0.0860
2789.57143 19.6626 0.1370
2789.74605 19.6274 0.0972
2789.79424 19.4243 0.0829
2790.69231 19.6298 0.0909
2790.90856 19.5934 0.1148
2791.76511 19.6125 0.1211
2792.67079 19.4205 0.0883
2793.58933 18.6182 0.0797
2795.60761 19.7901 0.1226
2797.59572 19.5363 0.0872
2802.80282 19.6814 0.1523
2808.82960 19.7451 0.1723
