PAR-23-noaver.dat,2260.0773,2186.3128,2186.179,2179.6424,2180.9537,2183.7686,2182.9123,2186.1988,2190.0045,2181.5842,2180.6995,2179.2013,../sim27_12/xallarap/PAR-23-noaver.dat.9.OUT,parallax,2186.3128
PAR-24-noaver.dat,2492.3837,2313.3958,2331.2905,2119.6943,2459.417,2398.069,2298.8809,2079.2366,2262.1562,2301.0651,2299.4004,2301.1308,../sim27_12/xallarap/PAR-24-noaver.dat.5.OUT,xallarap,2079.2366
PAR-25-noaver.dat,858.2304,756.4628,760.2847,749.3453,816.4623,749.5448,820.9087,748.3594,749.0562,749.135,748.9585,750.1912,../sim27_12/xallarap/PAR-25-noaver.dat.5.OUT,parallax,756.4628
PAR-26-noaver.dat,1853.7786,1335.9588,1341.7493,1330.1657,1330.1724,1329.867,1330.1752,1330.1746,1329.5478,1330.5033,1329.967,1330.4066,../sim27_12/xallarap/PAR-26-noaver.dat.6.OUT,parallax,1335.9588
PAR-27-noaver.dat,1350.6288,941.3132,941.4928,919.7172,1294.164,1294.6038,1194.1707,927.7133,929.1441,935.5948,940.6525,938.0443,../sim27_12/xallarap/PAR-27-noaver.dat.10.OUT,parallax,941.3132
PAR-28-noaver.dat,2497.0792,1664.6516,1663.9262,1616.4052,2384.2448,1919.0856,2406.8356,1613.7498,1617.1291,1636.8377,1622.0169,1620.253,../sim27_12/xallarap/PAR-28-noaver.dat.5.OUT,xallarap,1616.4052
PAR-29-noaver.dat,1351.256,1217.7648,1217.1043,1209.2249,1205.7718,1211.4923,1205.3565,1205.3838,1210.3374,1205.2938,1213.1032,1206.4776,../sim27_12/xallarap/PAR-29-noaver.dat.7.OUT,parallax,1217.7648
PAR-30-noaver.dat,1071.8154,1018.8927,1018.1146,1018.3178,1018.6706,1018.4084,1018.3653,1018.7115,1018.6904,1018.5554,1018.7299,1018.9408,../sim27_12/parallax/PAR-30-noaver.dat-.OUT,parallax,1018.8927
PAR-31-noaver.dat,595.0934,491.7636,482.7052,490.7648,491.5101,490.3217,487.1911,490.325,486.4452,490.581,493.2197,490.6032,../sim27_12/parallax/PAR-31-noaver.dat-.OUT,parallax,491.7636
PAR-32-noaver.dat,2445.7563,2360.6089,2333.4095,2313.4799,2326.0846,2333.4224,2311.5185,2317.5114,2314.5635,2314.6478,2314.6203,2298.7124,../sim27_12/xallarap/PAR-32-noaver.dat.9.OUT,parallax,2360.6089
PAR-33-noaver.dat,5078.4261,4655.9204,4656.9097,4619.9344,4939.7783,4939.753,5017.4723,4626.4108,4619.9698,4619.8515,4619.6672,4620.1684,../sim27_12/xallarap/PAR-33-noaver.dat.8.OUT,xallarap,4619.9344
PAR-34-noaver.dat,2356.6142,2296.2098,2296.4349,2274.0989,2294.0428,2308.0733,2294.093,2296.5462,2289.437,2298.5834,2293.6559,2284.4035,../sim27_12/xallarap/PAR-34-noaver.dat.10.OUT,parallax,2296.2098
PAR-35-noaver.dat,1166.9003,736.9638,659.6659,604.4919,1114.2221,1069.9507,755.422,587.8288,688.1702,1054.672,524.5648,511.1154,../sim27_12/xallarap/PAR-35-noaver.dat.9.OUT,xallarap,524.5648
PAR-36-noaver.dat,15525.7214,14983.1135,14986.401,14481.137,15166.4444,15089.4821,15089.4915,14064.6381,15100.9616,15089.5972,14369.8824,13933.0491,../sim27_12/xallarap/PAR-36-noaver.dat.9.OUT,xallarap,13933.0491
PAR-37-noaver.dat,2213.3652,2129.913,2122.3324,2108.3148,2164.9308,2162.8129,2162.8353,2111.6498,2111.6343,2106.5111,2106.725,2106.8223,../sim27_12/xallarap/PAR-37-noaver.dat.7.OUT,parallax,2129.913
PAR-38-noaver.dat,1720.6177,1577.0318,1582.5732,1564.0271,1673.7668,1673.8319,1567.4294,1571.9853,1577.7738,1576.1246,1572.2459,1563.8758,../sim27_12/xallarap/PAR-38-noaver.dat.9.OUT,parallax,1577.0318
PAR-39-noaver.dat,20217.4491,19958.3344,19958.1984,19959.0912,19883.8207,19884.6564,16009.3604,15028.4546,19960.1159,19959.3125,19961.4937,19958.9741,../sim27_12/xallarap/PAR-39-noaver.dat.5.OUT,xallarap,15028.4546
PAR-40-noaver.dat,1676.595,1445.278,1445.1052,1441.9922,1440.6366,1442.6858,1442.759,1442.179,1441.9376,1441.9524,1442.6221,1442.6328,../sim27_12/xallarap/PAR-40-noaver.dat.2.OUT,parallax,1445.278
PAR-41-noaver.dat,2719.6058,2595.5339,2593.8395,2593.1186,2589.1093,2590.125,2589.2136,2588.3156,2587.483,2588.2605,2588.8463,2588.2518,../sim27_12/xallarap/PAR-41-noaver.dat.6.OUT,parallax,2595.5339
PAR-42-noaver.dat,1541.7749,861.671,861.1117,857.426,1413.595,1345.0415,1349.3767,867.2803,861.2577,859.8396,859.3817,855.9031,../sim27_12/xallarap/PAR-42-noaver.dat.9.OUT,parallax,861.671
PAR-43-noaver.dat,1729.4861,1659.5962,1658.5623,1629.0548,1626.7809,1626.4411,1628.9271,1626.8407,1621.8006,1627.4705,1627.0371,1626.838,../sim27_12/xallarap/PAR-43-noaver.dat.6.OUT,parallax,1659.5962
PAR-44-noaver.dat,2327.9482,2264.3343,2264.4202,2233.9471,2220.7883,2198.2031,2226.581,2224.7117,2214.8948,2226.1595,2205.1149,2226.3991,../sim27_12/xallarap/PAR-44-noaver.dat.3.OUT,xallarap,2233.9471
PAR-45-noaver.dat,6031.0692,2996.3407,3009.7072,2956.1258,5935.4429,3230.335,5736.1849,3144.9029,3153.394,3145.2372,2956.3108,2955.9472,../sim27_12/xallarap/PAR-45-noaver.dat.9.OUT,xallarap,2956.1258
PAR-46-noaver.dat,10350.4177,1749.3415,1749.4399,1902.2846,1825.2381,1731.5791,1886.9859,2002.4161,2350.1505,2201.4229,1929.7747,1816.235,../sim27_12/xallarap/PAR-46-noaver.dat.3.OUT,parallax,1749.3415
PAR-47-noaver.dat,2647.1571,2497.8541,2499.5144,2473.1589,2472.0096,2471.7071,2471.233,2457.7196,2474.3117,2469.2635,2473.9371,2473.4472,../sim27_12/xallarap/PAR-47-noaver.dat.5.OUT,parallax,2497.8541
PAR-48-noaver.dat,1064.9732,1024.848,1025.3067,1018.5157,1025.9946,1025.9424,1020.5837,1017.6466,1026.0078,1018.354,1018.539,1018.4738,../sim27_12/xallarap/PAR-48-noaver.dat.5.OUT,parallax,1024.848
PAR-49-noaver.dat,4113.7912,2196.4062,2195.4323,2191.2996,3975.3358,2651.3654,3917.5113,2926.9686,2285.5324,2187.858,2190.3573,2188.0349,../sim27_12/xallarap/PAR-49-noaver.dat.7.OUT,parallax,2196.4062
PAR-50-noaver.dat,6210.4499,4943.7741,5033.1542,4921.23,6139.1592,6138.014,4897.4023,5007.4415,4897.6054,4897.1007,4869.2649,4823.5785,../sim27_12/xallarap/PAR-50-noaver.dat.9.OUT,xallarap,4823.5785
PAR-51-noaver.dat,2181.5708,1832.4022,1832.5259,1828.1657,1828.3205,1826.515,1826.479,1828.2767,1828.4778,1826.7945,1828.1685,1828.5081,../sim27_12/xallarap/PAR-51-noaver.dat.4.OUT,parallax,1832.4022
PAR-52-noaver.dat,1281.2247,1138.3036,1138.6492,1110.4691,1100.8831,1095.2417,1190.6471,1094.8782,1094.7987,1114.095,1111.5979,1109.6478,../sim27_12/xallarap/PAR-52-noaver.dat.6.OUT,parallax,1138.3036
PAR-53-noaver.dat,1782.816,1690.8009,1686.2798,1688.6609,1676.328,1675.1598,1667.0491,1674.4661,1672.08,1684.9062,1674.874,1667.6392,../sim27_12/xallarap/PAR-53-noaver.dat.4.OUT,parallax,1690.8009
PAR-54-noaver.dat,1089.4425,1052.9306,1054.7108,1051.5016,1051.523,1051.6344,1051.3037,1051.4663,1051.5607,1051.5205,1051.4522,1051.4578,../sim27_12/xallarap/PAR-54-noaver.dat.4.OUT,parallax,1052.9306
PAR-55-noaver.dat,1337.8967,1074.7797,1074.955,1073.45,1073.962,1073.9269,1073.3631,1074.3143,1073.6206,1074.0384,1073.6443,1073.5586,../sim27_12/xallarap/PAR-55-noaver.dat.4.OUT,parallax,1074.7797
PAR-56-noaver.dat,3771.04,3580.7471,3634.137,3597.0241,3726.2438,3707.8275,3622.8046,3597.2545,3620.0392,3596.6876,3597.2353,3596.9494,../sim27_12/parallax/PAR-56-noaver.dat+.OUT,parallax,3580.7471
PAR-57-noaver.dat,95646.386,85092.0372,92418.4653,9006.0003,56204.6609,30846.2897,32208.4342,28347.6823,26984.7365,79995.6609,78840.8372,11931.4573,../sim27_12/xallarap/PAR-57-noaver.dat.10.OUT,xallarap,9006.0003
PAR-58-noaver.dat,1609.6604,1184.511,1189.2991,1143.6815,1140.2101,1149.4627,1148.4173,1143.8209,1143.6508,1143.644,1143.4913,1143.6967,../sim27_12/xallarap/PAR-58-noaver.dat.2.OUT,xallarap,1143.6815
PAR-59-noaver.dat,2416.093,2251.5842,2217.6464,2183.4052,2185.9617,2185.953,2186.0102,2186.0011,2185.8769,2185.9234,2178.9842,2185.9243,../sim27_12/xallarap/PAR-59-noaver.dat.8.OUT,xallarap,2183.4052
